product_name,product_url_image,product_price,product_discount_price,product_stock,product_volume,product_weight
Nextar Nastar Pineapple 96gr,https://storage.googleapis.com/indo-astro/Nextar_Nastar_Pineapple_96gr_1654510054076_PRODUCT_240x240.png,8000,,0,350,96
Tango Waffle Cranch Chox 130gr,https://storage.googleapis.com/indo-astro/Tango_Waffle_Cranch_Chox_130gr_1652781456044_PRODUCT_240x240.png,7100,,0,1000,130
Tango Wafer Pouch Choco Tiramisu 115gr,https://storage.googleapis.com/indo-astro/Tango_Wafer_Pouch_Choco_Tiramisu_115gr_PRODUCT_1646723820276_240x240.png,10400,,0,1000,115
Tango Waffle Cranchox King Size Limited Edition 350gr,https://storage.googleapis.com/indo-astro/Tango_Waffle_Cranchox_King_Size_Limited_Edition_350gr_1647503596361_PRODUCT_240x240.png,53100,,0,1000,350
Apollo Wafer Chocolate isi 12pc 144g,https://storage.googleapis.com/indo-astro/Apollo_Wafer_Chocolate_isi_12pc_144g_PRODUCT_1646562045658_240x240.png,9600,,0,1000,144
Slai O'Lai Biscuit Strawberry 128gr,https://storage.googleapis.com/indo-astro/Slai_O'Lai_Biscuit_Strawberry_128gr_240x240.png,5300,,0,1000,128
Slai O'Lai Biscuit Blueberry 128gr,https://storage.googleapis.com/indo-astro/Slai_O'Lai_Biscuit_Blueberry_128gr_240x240.png,5300,,0,1000,128
Slai O'Lai Biscuit Pineapple 128gr,https://storage.googleapis.com/indo-astro/Slai_O'Lai_Biscuit_Pineapple_128gr_240x240.png,5300,,0,1000,128
Kit Kat Chunky Wafer Milk Chocolate Cokelat 38gr,https://storage.googleapis.com/indo-astro/Kit_Kat_Chunky_Wafer_Milk_Chocolate_Cokelat_38gr_240x240.png,13700,,0,120,38
Ferrero Rocher box isi 24 pcs 300gr/Cokelat,https://storage.googleapis.com/indo-astro/Ferrero_Rocher_box_isi_24_pcs_300gr_Cokelat_240x240.png,176800,,1,1000,300
Silverqueen Classic Almond 62gr/Cokelat,https://storage.googleapis.com/indo-astro/Silverqueen_Classic_Almond_62gr_Coklat_240x240.png,16000,,5,75,65
Delfi Take It 4Fingers Dark 35gr/Cokelat,https://storage.googleapis.com/indo-astro/Delfi_Take_It_4Fingers_Dark_35gr_Coklat_240x240.png,8100,,14,99,35
Delfi Chocolate Almond Cokelat 50gr,https://storage.googleapis.com/indo-astro/Delfi_Chocolate_Almond_Cokelat_50gr_240x240.png,13700,,22,1000,50
Schogetten Lotus Biscoff 100gr,https://storage.googleapis.com/indo-astro/Schogetten_Lotus_Bisscoff_100gr_PRODUCT_240x240.png,55600,,13,1000,100
Kinder Joy Chocolate For Boys 1 Pcs 20gr/Cokelat,https://storage.googleapis.com/indo-astro/Kinder_Joy_Chocolate_For_Boys_-_1pc_20gr_240x240.png,13600,,20,800,20
Delfi Chic Choc 50gr/Cokelat,https://storage.googleapis.com/indo-astro/Delfi_Chic_Choc_50gr_Coklat_240x240.png,8600,,15,144,50
Beng-beng 25gr isi 17pcs,https://storage.googleapis.com/indo-astro/Beng-beng_25gr_isi_17pcs_PRODUCT_1645610711193_240x240.png,36900,,9,1000,425
Fullo Stick Cokelat Box,https://storage.googleapis.com/indo-astro/Fullo_Stick_Cokelat_Box_1653975481186_PRODUCT_240x240.png,14500,,3,1000,240
Cadbury Dairy Milk Lickables Cup 20gr/Cokelat,https://storage.googleapis.com/indo-astro/Cadbury_Dairy_Milk_Lickables_Cup_20gr_-_Coklat_240x240.png,12700,,20,216,20
Poka Ball Biskuit Salut Coklat 38gr,https://storage.googleapis.com/indo-astro/Poka_Ball_Biskuit_Salut_Coklat_38gr_PRODUCT_1645784593413_240x240.png,5100,,22,1000,38
Delfi Cha Cha Minis Surprise Toy Tube 2x17gr/Cokelat,https://storage.googleapis.com/indo-astro/Delfi_Cha_Cha_Minis_Surprise_Toy_Tube_2x17gr_240x240.png,16000,,12,240,17
